county,municipality,article_39,article_40,article_42,article_43,article_44,art_44_524,article_45,article_46,city_hh,category,type,month,year,date,fiscal_year
Anson,Lilesville,2259.62,2380.59,1175.52,0,0,952.24,0,0,2823.33,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Mcfarlan,500.25,527.03,260.25,0,0,210.81,0,0,625.05,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Morven,2081.56,2193,1082.89,0,0,877.2,0,0,2600.86,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Peachland,1793.29,1889.28,932.92,0,0,755.72,0,0,2240.66,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Polkton,15113.61,15922.66,7862.52,0,0,6369.09,0,0,18884.03,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Wadesboro,23842.63,25118.94,12403.6,0,0,10047.62,0,0,29790.67,Per Capita,Municipality,july,2016,2016-07-01,2017
Ashe,Ashe,240487.47,152917.47,118507.07,0,0,39271.55,0,58727.12,-17755.61,Per Capita,County,july,2016,2016-07-01,2017
Ashe,Jefferson,13738.14,8735.59,6769.85,0,0,2243.43,0,0,9080.5,Per Capita,Municipality,july,2016,2016-07-01,2017
Ashe,Lansing,1375.57,874.67,677.85,0,0,224.63,0,0,909.2,Per Capita,Municipality,july,2016,2016-07-01,2017
Ashe,West Jefferson,11749.26,7470.93,5789.78,0,0,1918.65,0,0,7765.91,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Avery,247943.14,110758.72,117996.5,0,42.57,0,0,0,-15288.08,Per Capita,County,july,2016,2016-07-01,2017
Avery,Banner Elk,15919.9,7111.59,7576.31,0,2.73,0,0,0,6316.44,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Beech Mountain,346.39,154.74,164.85,0,0.06,0,0,0,137.44,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Crossnore,2784.95,1244.06,1325.36,0,0.48,0,0,0,1104.96,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Elk Park,6221.1,2779.03,2960.63,0,1.07,0,0,0,2468.3,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Grandfather Village,346.39,154.74,164.85,0,0.06,0,0,0,137.44,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Newland,9768.09,4363.5,4648.65,0,1.68,0,0,0,3875.62,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Seven Devils,415.67,185.68,197.82,0,0.07,0,0,0,164.91,Per Capita,Municipality,july,2016,2016-07-01,2017
Avery,Sugar Mountain,2729.53,1219.31,1298.98,0,0.47,0,0,0,1082.97,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Beaufort,351377.81,251882.87,167893.88,0,28.29,9336.42,0,0,-77893.1,Per Capita,County,july,2016,2016-07-01,2017
Beaufort,Aurora,3733.44,2676.29,1783.9,0,0.3,99.2,0,0,2933.14,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Bath,1796.76,1288,858.53,0,0.14,47.74,0,0,1411.61,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Belhaven,12002.97,8604.25,5735.21,0,0.97,318.93,0,0,9430.02,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Chocowinity,6023.58,4317.96,2878.16,0,0.48,160.05,0,0,4732.36,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Pantego,1303.39,934.33,622.78,0,0.1,34.63,0,0,1024,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Washington,71009,50902.33,33929.23,0,5.71,1886.77,0,0,55787.52,Per Capita,Municipality,july,2016,2016-07-01,2017
Beaufort,Washington Park,3276.89,2349.01,1565.75,0,0.26,87.07,0,0,2574.45,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Bertie,64633.1,97630.46,37628.91,0,0,50608.99,0,0,-37348.7,Per Capita,County,july,2016,2016-07-01,2017
Bertie,Askewville,736.71,1112.82,428.9,0,0,576.86,0,0,1382.63,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Aulander,2680.37,4048.8,1560.49,0,0,2098.79,0,0,5030.43,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Colerain,608.18,918.67,354.07,0,0,476.22,0,0,1141.4,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Kelford,746.12,1127.03,434.38,0,0,584.22,0,0,1400.29,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Lewiston Woodville,1667.79,2519.25,970.98,0,0,1305.91,0,0,3130.04,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Powellsville,824.49,1245.42,480.02,0,0,645.59,0,0,1547.37,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Roxobel,708.5,1070.21,412.48,0,0,554.77,0,0,1329.67,Per Capita,Municipality,july,2016,2016-07-01,2017
Bertie,Windsor,11928.45,18018.33,6944.66,0,0,9340.22,0,0,22386.87,Per Capita,Municipality,july,2016,2016-07-01,2017
Bladen,Bladen,206193.62,202078.03,105091.13,0,0,62858.91,0,0,-36444.01,Ad Valorem,County,july,2016,2016-07-01,2017
Bladen,Bladenboro,4896.08,4798.36,2495.4,0,0,1492.59,0,0,5625.14,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,Clarkton,3473.49,3404.16,1770.34,0,0,1058.91,0,0,3990.7,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,Dublin,713.1,698.88,363.46,0,0,217.39,0,0,819.29,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,East Arcadia,433.45,424.8,220.92,0,0,132.14,0,0,498,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,Elizabethtown,15915.63,15597.95,8111.75,0,0,4851.94,0,0,18285.55,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,Tar Heel,201.09,197.07,102.48,0,0,61.3,0,0,231.04,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Bladen,White Lake,6087.79,5966.27,3102.77,0,0,1855.88,0,0,6994.29,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Brunswick,Brunswick,1240812.24,594374.11,631291.34,0,54.17,0,0,0,-254418.67,Per Capita,County,july,2016,2016-07-01,2017
Brunswick,Bald Head Island,1748,837.34,889.34,0,0.08,0,0,0,745.12,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Belville,21850.11,10466.65,11116.74,0,0.95,0,0,0,9314.02,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Boiling Spring Lakes,63191.56,30270.04,32150.14,0,2.76,0,0,0,26936.6,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Bolivia,1579.53,756.62,803.62,0,0.07,0,0,0,673.3,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Calabash,19954.68,9558.69,10152.39,0,0.87,0,0,0,8506.06,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Carolina Shores,34770.63,16655.83,17690.34,0,1.52,0,0,0,14821.64,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Caswell Beach,4475.33,2143.77,2276.93,0,0.2,0,0,0,1907.69,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Holden Beach,6349.7,3041.63,3230.55,0,0.28,0,0,0,2706.67,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Leland,169146.15,81024.42,86056.93,0,7.38,0,0,0,72101.76,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Navassa,17332.66,8302.69,8818.38,0,0.76,0,0,0,7388.37,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Northwest,8245.13,3949.58,4194.89,0,0.36,0,0,0,3514.64,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Oak Island,75132.78,35990.12,38225.5,0,3.28,0,0,0,32026.78,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Ocean Isle Beach,6286.51,3011.37,3198.41,0,0.27,0,0,0,2679.74,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,St James,41046.61,19662.15,20883.39,0,1.79,0,0,0,17496.9,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Sandy Creek,2874.74,1377.06,1462.59,0,0.13,0,0,0,1225.41,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Shallotte,43068.4,20630.63,21912.02,0,1.88,0,0,0,18358.73,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Southport,33117.39,15863.9,16849.22,0,1.45,0,0,0,14116.91,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Sunset Beach,40614.87,19455.34,20663.74,0,1.77,0,0,0,17312.85,Per Capita,Municipality,july,2016,2016-07-01,2017
Brunswick,Varnamtown,6065.38,2905.44,3085.9,0,0.26,0,0,0,2585.48,Per Capita,Municipality,july,2016,2016-07-01,2017
Buncombe,Buncombe,3535192.57,1280918.82,1718613.01,0,1307.5,0,0,1093304.64,-312374.26,Ad Valorem,County,july,2016,2016-07-01,2017
Buncombe,Asheville,950259.18,344310.76,461962.88,0,351.46,0,0,0,256236.73,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Buncombe,Biltmore Forest,43144.62,15632.74,20974.5,0,15.96,0,0,0,11633.92,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Buncombe,Black Mountain,66337.77,24036.4,32249.71,0,24.54,0,0,0,17887.93,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Buncombe,Montreat,16723.11,6059.34,8129.84,0,6.19,0,0,0,4509.38,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Buncombe,Weaverville,48909.35,17721.5,23776.99,0,18.09,0,0,0,13188.37,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Buncombe,Woodfin,33072.35,11983.22,16077.92,0,12.23,0,0,0,8917.93,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Burke,Burke,570898.06,430920.04,273141.42,0,33.82,114393.69,0,0,-166947.04,Per Capita,County,july,2016,2016-07-01,2017
Burke,Connelly Springs,10483.88,7913.35,5015.93,0,0.62,2100.71,0,0,8807.63,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Drexel,11795.97,8903.73,5643.68,0,0.7,2363.62,0,0,9909.93,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Glen Alpine,9792.64,7391.59,4685.21,0,0.58,1962.2,0,0,8226.91,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Hickory,422.43,318.86,202.11,0,0.03,84.64,0,0,354.89,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Hildebran,12692.03,9580.08,6072.4,0,0.75,2543.17,0,0,10662.71,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Long View,4736.31,3575.02,2266.05,0,0.28,949.04,0,0,3979.03,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Morganton,107014.98,80776.07,51200.43,0,6.34,21443.13,0,0,89904.49,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Rhodhiss,4595.5,3468.73,2198.68,0,0.27,920.82,0,0,3860.72,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Rutherford College,8762.17,6613.79,4192.19,0,0.52,1755.72,0,0,7361.2,Per Capita,Municipality,july,2016,2016-07-01,2017
Burke,Valdese,28424.25,21454.94,13599.35,0,1.68,5695.51,0,0,23879.53,Per Capita,Municipality,july,2016,2016-07-01,2017
Cabarrus,Cabarrus,1976505.44,853673.14,999458.13,0,60.38,0,0,709093.57,-356008.3,Ad Valorem,County,july,2016,2016-07-01,2017
Cabarrus,Concord,624858.59,269882.89,315971.81,0,19.09,0,0,0,224882.8,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cabarrus,Harrisburg,67378.76,29101.58,34071.37,0,2.06,0,0,0,24249.2,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cabarrus,Kannapolis,275788.3,119115.82,139457.68,0,8.43,0,0,0,99254.53,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cabarrus,Locust,2550.28,1101.5,1289.6,0,0.08,0,0,0,917.82,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cabarrus,Midland,9612.86,4151.9,4860.94,0,0.29,0,0,0,3459.61,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cabarrus,Mount Pleasant,9014.7,3893.54,4558.45,0,0.28,0,0,0,3244.34,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Caldwell,Caldwell,436131.91,364236.41,212788.74,0,0.31,82159.74,0,0,-196690.93,Per Capita,County,july,2016,2016-07-01,2017
Caldwell,Blowing Rock,566.03,472.72,276.17,0,0,106.63,0,0,538.37,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Cajah Mountain,14595.03,12189.07,7120.92,0,0.01,2749.45,0,0,13881.87,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Cedar Rock,1549.97,1294.46,756.23,0,0,291.99,0,0,1474.23,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Gamewell,21218.09,17720.33,10352.3,0,0.01,3997.12,0,0,20181.3,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Granite Falls,24603.67,20547.81,12004.13,0,0.02,4634.91,0,0,23401.45,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Hickory,111.09,92.78,54.2,0,0,20.93,0,0,105.67,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Hudson,20562.13,17172.5,10032.26,0,0.01,3873.55,0,0,19557.39,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Lenoir,94383.72,78824.75,46049.82,0,0.07,17780.27,0,0,89771.8,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Rhodhiss,1899.1,1586.04,926.57,0,0,357.76,0,0,1806.31,Per Capita,Municipality,july,2016,2016-07-01,2017
Caldwell,Sawmills,27306.84,22805.36,13323.01,0,0.02,5144.14,0,0,25972.54,Per Capita,Municipality,july,2016,2016-07-01,2017
Camden,Camden,45225,59953.53,26483,0,0,33652.22,0,0,-319.28,Per Capita,County,july,2016,2016-07-01,2017
Camden,Elizabeth City,198.53,263.18,116.25,0,0,147.73,0,0,319.28,Per Capita,Municipality,july,2016,2016-07-01,2017
Carteret,Carteret,962554.24,349363.15,464464.77,0,468.64,0,0,0,-116663.51,Ad Valorem,County,july,2016,2016-07-01,2017
Carteret,Atlantic Beach,50535.12,18341.94,24384.9,0,24.6,0,0,0,13767.09,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Beaufort,52784.08,19158.2,25470.09,0,25.7,0,0,0,14379.77,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Bogue,733.32,266.16,353.85,0,0.36,0,0,0,199.78,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Cape Carteret,12179.08,4420.45,5876.82,0,5.93,0,0,0,3317.89,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Cedar Point,4470.43,1622.56,2157.13,0,2.18,0,0,0,1217.87,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Emerald Isle,87835.05,31880.11,42383.37,0,42.76,0,0,0,23928.59,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Indian Beach,18030.95,6544.41,8700.54,0,8.78,0,0,0,4912.11,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Morehead City,134791.07,48922.99,65041.21,0,65.63,0,0,0,36720.64,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Newport,24869.84,9026.61,12000.53,0,12.11,0,0,0,6775.2,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Peletier,821.58,298.2,396.44,0,0.4,0,0,0,223.81,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Carteret,Pine Knoll Shores,41188.23,14949.44,19874.7,0,20.05,0,0,0,11220.76,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Caswell,Caswell,70426.18,138168.48,42017.89,0,0,91744.92,0,0,-6419.05,Ad Valorem,County,july,2016,2016-07-01,2017
Caswell,Milton,269.85,529.42,161,0,0,351.54,0,0,680.21,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Caswell,Yanceyville,2276.71,4466.65,1358.34,0,0,2965.89,0,0,5738.84,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Catawba,Catawba,1495081.38,675226.34,726151.82,0,276.5,0,0,497989.87,-273538.59,Per Capita,County,july,2016,2016-07-01,2017
Catawba,Brookford,3607.46,1629.25,1752.13,0,0.67,0,0,0,1438.53,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Catawba,5794.97,2617.19,2814.57,0,1.07,0,0,0,2310.83,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Claremont,13681.48,6178.99,6645.01,0,2.53,0,0,0,5455.69,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Conover,79546.43,35925.69,38635.21,0,14.71,0,0,0,31720.33,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Hickory,386123.01,174385.45,187537.58,0,71.41,0,0,0,153972.34,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Long View,39701.26,17930.35,19282.65,0,7.34,0,0,0,15831.47,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Maiden,32611.06,14728.2,15838.99,0,6.03,0,0,0,13004.15,Per Capita,Municipality,july,2016,2016-07-01,2017
Catawba,Newton,124898.73,56408.24,60662.55,0,23.1,0,0,0,49805.25,Per Capita,Municipality,july,2016,2016-07-01,2017
Chatham,Chatham,450570.09,367838.02,240174,0,35.81,91434.58,0,0,-87969.23,Per Capita,County,july,2016,2016-07-01,2017
Chatham,Cary,13971.11,11405.79,7447.23,0,1.11,2835.17,0,0,12581.38,Per Capita,Municipality,july,2016,2016-07-01,2017
Chatham,Goldston,1789.83,1461.18,954.06,0,0.14,363.21,0,0,1611.79,Per Capita,Municipality,july,2016,2016-07-01,2017
Chatham,Pittsboro,27647.2,22570.72,14737.19,0,2.2,5610.47,0,0,24897.06,Per Capita,Municipality,july,2016,2016-07-01,2017
Chatham,Siler City,54278.2,44311.83,28932.71,0,4.31,11014.72,0,0,48879,Per Capita,Municipality,july,2016,2016-07-01,2017
Cherokee,Cherokee,278250.13,152973.61,133533.58,0,0,15050.64,0,0,-18579.32,Per Capita,County,july,2016,2016-07-01,2017
Cherokee,Andrews,17799.25,9785.49,8541.94,0,0,962.77,0,0,9672.48,Per Capita,Municipality,july,2016,2016-07-01,2017
Cherokee,Murphy,16390.32,9010.9,7865.78,0,0,886.56,0,0,8906.84,Per Capita,Municipality,july,2016,2016-07-01,2017
Chowan,Chowan,105978.23,86798.12,51962.06,0,0,15600.79,0,0,-17042.46,Ad Valorem,County,july,2016,2016-07-01,2017
Chowan,Edenton,18392.53,15063.82,9018.01,0,0,2707.52,0,0,17042.46,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Clay,Clay,76111.67,65372.32,39040.09,0,0,22263.94,0,0,-895.39,Ad Valorem,County,july,2016,2016-07-01,2017
Clay,Hayesville,920.83,790.9,472.33,0,0,269.36,0,0,895.39,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Cleveland,745537.09,517487.16,362330.02,0,36.36,82519.12,0,0,-122930.43,Ad Valorem,County,july,2016,2016-07-01,2017
Cleveland,Belwood,0,0,0,0,0,0,0,0,0,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Boiling Springs,10756.38,7466.14,5227.58,0,0.52,1190.56,0,0,8051.92,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Casar,75.09,52.12,36.49,0,0,8.31,0,0,56.21,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Earl,194.84,135.24,94.69,0,0.01,21.57,0,0,145.85,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Fallston,259.29,179.97,126.01,0,0.01,28.7,0,0,194.09,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Grover,1666.05,1156.43,809.7,0,0.08,184.4,0,0,1247.16,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Kings Mountain,49212.83,34159.29,23917.38,0,2.4,5447.08,0,0,36839.31,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Kingstown,942.54,654.23,458.08,0,0.05,104.32,0,0,705.55,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Lattimore,445.54,309.25,216.53,0,0.02,49.31,0,0,333.52,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Lawndale,630.06,437.34,306.21,0,0.03,69.74,0,0,471.65,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Mooresboro,0,0,0,0,0,0,0,0,0,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Patterson Springs,0,0,0,0,0,0,0,0,0,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Polkville,163.01,113.15,79.23,0,0.01,18.04,0,0,122.03,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Shelby,99548.26,69097.76,48380.31,0,4.85,11018.41,0,0,74518.93,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cleveland,Waco,326.24,226.45,158.55,0,0.02,36.11,0,0,244.21,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Columbus,Columbus,326587.47,232353.34,158738.04,0,0,144366.9,0,0,-71449.73,Per Capita,County,july,2016,2016-07-01,2017
Columbus,Boardman,878.35,624.91,426.92,0,0,388.27,0,0,679.47,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Bolton,3932.75,2797.98,1911.51,0,0,1738.45,0,0,3042.28,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Brunswick,6386.45,4543.7,3104.14,0,0,2823.11,0,0,4940.42,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Cerro Gordo,1139.02,810.36,553.62,0,0,503.5,0,0,881.12,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Chadbourn,10353.19,7365.86,5032.18,0,0,4576.6,0,0,8008.99,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Fair Bluff,5338.1,3797.84,2594.59,0,0,2359.69,0,0,4129.44,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Lake Waccamaw,8443.49,6007.19,4103.97,0,0,3732.42,0,0,6531.7,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Sandyfield,2601.05,1850.53,1264.24,0,0,1149.78,0,0,2012.12,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Tabor City,22548.09,16042.02,10959.51,0,0,9967.31,0,0,17442.69,Per Capita,Municipality,july,2016,2016-07-01,2017
Columbus,Whiteville,30742.25,21871.82,14942.28,0,0,13589.51,0,0,23781.5,Per Capita,Municipality,july,2016,2016-07-01,2017
Craven,Craven,771092.13,484373.59,388650.01,0,24.8,49634.18,0,0,-214969.63,Ad Valorem,County,july,2016,2016-07-01,2017
Craven,Bridgeton,5634.73,3539.55,2840.05,0,0.18,362.7,0,0,3628.77,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,Cove City,679.83,427.05,342.66,0,0.02,43.76,0,0,437.81,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,Dover,805.42,505.94,405.96,0,0.03,51.84,0,0,518.69,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,Havelock,76135.98,47826.01,38374.46,0,2.45,4900.77,0,0,49031.48,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,New Bern,214971.12,135037.49,108350.91,0,6.92,13837.41,0,0,138441.16,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,River Bend,13974.47,8778.29,7043.49,0,0.45,899.52,0,0,8999.54,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,Trent Woods,17372.55,10912.84,8756.21,0,0.56,1118.25,0,0,11187.91,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Craven,Vanceboro,4230.23,2657.29,2132.15,0,0.14,272.29,0,0,2724.27,Ad Valorem,Municipality,july,2016,2016-07-01,2017
Cumberland,Cumberland,2259290.26,1186746.25,1120492.55,0,4981.6,2432.58,0,899098.86,-831875.2,Per Capita,County,july,2016,2016-07-01,2017
Cumberland,Eastover,25301.9,13290.43,12548.45,0,55.79,27.24,0,0,12643.53,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Falcon,2421.13,1271.76,1200.76,0,5.34,2.61,0,0,1209.85,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Fayetteville,1429176.68,750709.24,708798.62,0,3151.26,1538.79,0,0,714169.37,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Godwin,953.36,500.78,472.82,0,2.1,1.03,0,0,476.41,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Hope Mills,112819.45,59261.12,55952.68,0,248.76,121.47,0,0,56376.65,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Linden,877.92,461.14,435.4,0,1.94,0.95,0,0,438.7,Per Capita,Municipality,july,2016,2016-07-01,2017
Cumberland,Spring Lake,82016.84,43081.31,40676.17,0,180.84,88.31,0,0,40984.38,Per Capita,Municipality,july,2016,2016-07-01,2017
